UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES,,FILTRES,,,,,FR,EN,,,
Homme,Men ,Vêtements,Clothing,Hauts & T-shirts,Tops & T-shirts,T-shirts manches courtes,Short sleeve T-shirts,Catégorie_T-shirts manches courtes,Category_Short sleeve T-shirts,"T-shirts manches courtes,Short sleeve T-shirts,Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Hauts & T-shirts,Tops & T-shirts,"Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Catégorie_Hauts & T-shirts,Category_Tops & T-shirts
Homme,Men ,Vêtements,Clothing,Hauts & T-shirts,Tops & T-shirts,T-shirts manches longues,Long sleeve T-shirts,Catégorie_T-shirts manches longues,Category_Long sleeve T-shirts,"T-shirts manches longues,Long sleeve T-shirts,Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Hauts & T-shirts,Tops & T-shirts,"Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Catégorie_Hauts & T-shirts,Category_Tops & T-shirts
Homme,Men ,Vêtements,Clothing,Vêtements d'intérieur,Homewear,Vêtements d'intérieur,Homewear,Catégorie_Vêtements d'intérieur,Category_Homewear,"Vêtements d'intérieur,Homewear,Catégorie_-,Category_-",-,-,"Catégorie_-,Category_-",Catégorie_-,Category_-
CHAUSSURES HOMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,,"Catégorie_,Category_",Catégorie_,Category_
Homme,Men ,Chaussures,Shoes ,Baskets,Sneakers,Baskets basses,Low top sneakers,Catégorie_Baskets basses,Category_Low top sneakers,"Baskets basses,Low top sneakers,Catégorie_Baskets,Category_Sneakers",Baskets,Sneakers,"Catégorie_Baskets,Category_Sneakers",Catégorie_Baskets,Category_Sneakers
Homme,Men ,Chaussures,Shoes ,Baskets,Sneakers,Baskets hautes,High top sneakers,Catégorie_Baskets hautes,Category_High top sneakers,"Baskets hautes,High top sneakers,Catégorie_Baskets,Category_Sneakers",Baskets,Sneakers,"Catégorie_Baskets,Category_Sneakers",Catégorie_Baskets,Category_Sneakers
Homme,Men ,Chaussures,Shoes ,Bottes & Bottines,Boots & Ankle Boots,Bottes & Bottines,Boots & Ankle Boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots,"Bottes & Bottines,Boots & Ankle Boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots
Homme,Men ,Chaussures,Shoes ,Chaussures Plates,Flats,Derbies & Richelieu,Flats,Catégorie_Derbies & Richelieu,Category_Flats,"Derbies & Richelieu,Flats,Catégorie_Chaussures Plates,Category_Flats",Chaussures Plates,Flats,"Catégorie_Chaussures Plates,Category_Flats",Catégorie_Chaussures Plates,Category_Flats
Homme,Men ,Chaussures,Shoes ,Chaussures Plates,Flats,Mocassins,Flats,Catégorie_Mocassins,Category_Flats,"Mocassins,Flats,Catégorie_Chaussures Plates,Category_Flats",Chaussures Plates,Flats,"Catégorie_Chaussures Plates,Category_Flats",Catégorie_Chaussures Plates,Category_Flats
Homme,Men ,Chaussures,Shoes ,Chaussures Plates,Flats,Espadrilles,Flats,Catégorie_Espadrilles,Category_Flats,"Espadrilles,Flats,Catégorie_Chaussures Plates,Category_Flats",Chaussures Plates,Flats,"Catégorie_Chaussures Plates,Category_Flats",Catégorie_Chaussures Plates,Category_Flats
