  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Chaussures,Shoes ,Chaussures à talons,High Heels,Escarpins,Pumps,Catégorie_Escarpins,Category_Pumps,"Escarpins,Pumps,Catégorie_Chaussures à talons,Category_High Heels",Chaussures à talons,Category_High Heels,High Heels,"Catégorie_Chaussures à talons,Category_High Heels",
Femme,Women ,Chaussures,Shoes ,Chaussures plates,Flats,Espadrilles,Espadrilles,Catégorie_Espadrilles,Category_Espadrilles,"Espadrilles,Espadrilles,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
Femme,Women ,Chaussures,Shoes ,Chaussures plates,Flats,Mocassins,Loafers,Catégorie_Mocassins,Category_Loafers,"Mocassins,Loafers,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
Femme,Women ,Chaussures,Shoes ,Chaussures plates,Flats,Mules,Mules,,,,,,,,
Femme,Women ,Chaussures,Shoes ,Chaussures à talons,High Heels,Sandales à talons,Heeled sandals,Catégorie_Sandales à talons,Category_Heeled sandals,"Sandales à talons,Heeled sandals,Catégorie_Chaussures à talons,Category_High Heels",Chaussures à talons,Category_High Heels,High Heels,"Catégorie_Chaussures à talons,Category_High Heels",
Femme,Women ,Chaussures,Shoes ,Sandales,Sandals,Sandales plates,Flat sandals,Catégorie_Sandales plates,Category_Flat sandals,"Sandales plates,Flat sandals,Catégorie_Sandales,Category_Sandals",Sandales,Category_Sandals,Sandals,"Catégorie_Sandales,Category_Sandals",
SACS FEMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,Category_,,"Catégorie_,Category_",
Femme,Women ,Sacs,Bags ,Cabas,Tote Bags,Cabas,Tote bags,Catégorie_Cabas,Category_Tote bags,"Cabas,Tote bags,Catégorie_Cabas,Category_Tote Bags",Cabas,Category_Tote Bags,Tote Bags,"Catégorie_Cabas,Category_Tote Bags",
Femme,Women ,Sacs,Bags ,Pochettes,Clutch Bags,Pochettes,Clutch bags,Catégorie_Pochettes,Category_Clutch bags,"Pochettes,Clutch bags,Catégorie_Pochettes,Category_Clutch Bags",Pochettes,Category_Clutch Bags,Clutch Bags,"Catégorie_Pochettes,Category_Clutch Bags",
Femme,Women ,Sacs,Bags ,Sacs à dos,Backpacks,Sacs à dos,Backpacks,Catégorie_Sacs à dos,Category_Backpacks,"Sacs à dos,Backpacks,Catégorie_Sacs à dos,Category_Backpacks",Sacs à dos,Category_Backpacks,Backpacks,"Catégorie_Sacs à dos,Category_Backpacks",
Femme,Women ,Sacs,Bags ,Sacs à main,Handbags,Sacs à main,Handbags,Catégorie_Sacs à main,Category_Handbags,"Sacs à main,Handbags,Catégorie_Sacs à main,Category_Hand bags",Sacs à main,Category_Hand bags,Hand bags,"Catégorie_Sacs à main,Category_Hand bags",
Femme,Women ,Sacs,Bags ,Sacs à bandoulière,Shoulder Bags,Sacs à bandoulière,Shoulder bags,Catégorie_Sacs à bandoulière,Category_Shoulder bags,"Sacs à bandoulière,Shoulder bags,Catégorie_Sacs à bandoulière,Category_Shoulder Bags",Sacs à bandoulière,Category_Shoulder Bags,Shoulder Bags,"Catégorie_Sacs à bandoulière,Category_Shoulder Bags",
Femme,Women ,Sacs,Bags ,Sacs ceinture,Belt Bags,Sacs ceinture,Belt bags,Catégorie_Sacs ceinture,Category_Belt bags,"Sacs ceinture,Belt bags,Catégorie_Sacs ceinture,Category_Belt Bags",Sacs ceinture,Category_Belt Bags,Belt Bags,"Catégorie_Sacs ceinture,Category_Belt Bags",
ACCESSOIRES FEMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,Category_,,"Catégorie_,Category_",
